feature,coefficient
drone,-3.587812033079389
aircraft,-3.4011304247898293
engine,-2.878513108169338
contacted,-2.5256294179548417
traffic,-2.516767306569904
clearance,-2.307938436502824
ctaf,-2.3076153870103844
landing gear,-2.2207237070281587
crossing,-2.15451113954356
rudder,-2.115233172031906
gs,3.7424180103791533
stabilized,3.7935740415311474
speed,3.8157889773735296
glideslope,3.956194796631201
executed,4.18160404231221
configured,4.261917737338875
stable,5.166498903553065
approach,5.674710050448468
high,6.88118239490559
unstable,8.377979451035783
