ACN,incident_year,Aircraft 1 | Flight Phase,Environment | Flight Conditions,Environment | Weather Elements / Visibility,Environment | Light,Environment | Ceiling,true_label,predicted_label,score,error_type,text_word_count,text_main
2203982,2025,Landing,VMC,,,,0,1,0.997167542576532,FP,757,Day 2 of a 4 day. Probationary FO with around 200 hours in the aircraft. Threat forward brief was utilized. Full arrival briefing was conducted at cruise Including a discussion (per pilot bulletin) of -900ER tail strike avoidance. CA was PM. Uneventful arrival and approach. Vectors for RNAV XXL at ZZZ. FO was flying. No issues with the approach; full SOP compliance and in LNAV and VNAV with a stable approach through 1000 and 500 gates. Ceilings were slightly above LNAV/VNAV minimums so we did break out just above minimums but with RNAV minimums; PF was visual at 500 and very stable. The gradient path did bring the aircraft slightly high once visual (3 white; 1 red) and the FO was slightly slow to correct to a more normal aim point but did make a correction while maintaining stability and airspeed. Airspeed never decayed below target during the entire approach to flare. All automation was off under 400 feet. Through 300 feet the PF continued to adjust towards 2 red/2 white. However; as the aircraft continued through 75 feet; there was not much arresting of the rate and PF made a corrective verbal input: something to the effect of 'arrest that sink rate'. The PF did not make large enough of a correction but was trying. Airspeed continued to stay pegged at target which was good but coming through 20 feet was slow/late to initiate the flare. I made another corrective verbal call 'more flare'. The PF attempted to flare but was not as quick as needed. There was NO 'sink rate' GPWS at any time in the approach. Airspeed was on target (never slow). No tail strike or un-usual aircraft attitude occurred. Throttles were moving to idle as the aircraft approached runway contact. Airspeed stayed in stable parameters - the PF never got slow. Unfortunately; the slow/late flare resulted in a firm bounce. The PF had a bit of a startle effect and given the firm bounce; I elected to immediately take control of the aircraft and initiate an immediate go around. I did not want to risk the FO trying to 'save the landing' or risk a tail strike scenario. Per the FM (Flight Manual); when you bounce; the best course of action is to immediately initiate a go around. I took the aircraft and immediately executed a go around. Pressed toga while pushing throttles to the green carrots while flying through the F/D (Flight Director) towards 15 degrees. Rotation was smooth. The aircraft maintained positive energy and rate of climb away from the runway and never settled or sunk back towards the runway. We did not change configuration until initial positive rate of climb. All call outs were made and executed per FM. Go around was executed well. No configuration deviations or problems with ATC instructions. Energy state was well managed. Got up to 3000M and got the automation back on. Analyzed fuel (was fine); talked to FAs; customers. Reloaded the box; re-ran descent check and tried again. Then have the aircraft back to FO who wanted to try again. I did ask if they wanted me to fly. Fuel status was fine. We could have tried multiple more times as needed. Second arrival was uneventful. Stable approach to a normal landing. Taxiied to the gate. We were keeping the aircraft so did a complete post flight walk around and preflight walk around for the next leg. As expected; NO tail contact occurred. FAs were debriefed. They said the bounce was not very severe in the back but they obviously felt the bump and the go around. Full debriefing conducted with the FO. FO admitted they were slow to flare but agreed that the correct action was executing the go around out of the bounce. The contributing factor was the slow/late flare.Despite the bounce and unexpected go around; the outcome was success. The aircraft bounced but instead of trying to 'save the landing'; an immediate go around was well executed and no tail strike or undesired aircraft state occurred. The training we receive in the simulator shows that you can safely and easily go around out of a bounced landing.This was demonstrated on this event. It's also important to continue to emphasize that even in stable landing state; inside of 50 feet; things can still deteriorate if you are not vigilant. This was a stable approach essentially the entire time…but a slow/late flare led to a bounce. That startle effect is real but if you bounce; you have to initiate an immediate go around.
2300011,2025,Initial Approach,,,,,0,1,0.9662549303096598,FP,247,Flying into RAP ATC cut us in for a tight visual approach to 14 due to two aircraft coming in behind us. We had set up for the RNAV; and elected to take the visual rather than a potentially extensive delay. The FO was flying; once cleared for the visual approach the FO vectored himself further down wind and outside of the final approach fix to set himself up for a better turn onto final. In his turn he began descending and configuring for the visual approach. Coming out of his turn he mistook Ellsworth AFB for RAP; stated that he was a bit high and initiated a descent to try and correct the issue. As PM I recognized the error and called out that he was attempting to descend for the incorrect runway and pointed out the correct airport. He stopped his descent and leveled off at 4500 MSL. At this point he was Gear Down with Flaps 30. FAF required altitude was 4900 feet. As we continued level towards the FAF the aircraft called out 1000 feet. I never observed the RA showing less than 1000 feet so I allowed him to continue. Shortly after the 1000 feet callout the RA showed an altitude gain of 2-400 feet. He continued on to a stable approach to landing. We debriefed the approach and the issues with it after shutdown.Cause: Time pressure; Company performance pressures; followed by a break down in situational awareness by the pilot flying.
2305215,2025,Initial Approach,VMC,,Night,,0,1,0.958156461984646,FP,260,During the approach to landing; at night; ZZZ approached cleared us for a Visual Approach to Runway XX; while in a left downwind. FO and I discussed how he would execute the Visual Approach; we talked about not exceeding 5 miles from the end of runway XX. The base turn was approximately 4 miles; just at the Final Approach Fix; we started configuring on the base leg and were fully configured before turning onto final. The glide slope was alive and showing us high on the glide slope. The PF put us in a shallow descent to recapture the glide slope. We were a little off course from the final when we received an ATC notice about altitude. We had visual with the ground and runway but PF disconnected the AP (Autopilot) leveled off and increased power even though the glide slope was showing us high. Once we leveled off and were on course to final approach the glide path came back in and showed us low on the approach. We were in VMC and were able to get back on glide path prior to the 500 ft call out.  We were completely configured prior to 1000Cause: Turning base leg too close to the runway and getting below the glide path. Suggestion: Next time ensure you're briefing how you would fly a visual approach at night. The FAF is only 4 miles from the runway; would recommend capturing the localizer 1 mile outside the FAF. If uncomfortable with the approach at night; I would recommend just flying the published ILS.
2294156,2025,Final Approach; Landing,,,,,0,1,0.945590912531268,FP,229,On Day 0; at approximately XA:05; flight X from ZZZ to CLT experienced a possible hard landing followed by a bounced landing and subsequent go-around. I was operating as Pilot Monitoring; with the Captain as Pilot Flying. The approach was stabilized; with the aircraft fully configured by 1;000 feet. Due to a larger aircraft ahead on final approach; we encountered some light wake turbulence. Captain requested to set 5 knots above Vref; I set It  up since he was hand flying it at that point of the approach; At 500 feet; remained stable with standard callouts. During the landing flare; the aircraft experienced a hard touchdown; followed by another bounce. The Captain executed a go-around appropriately on the first touchdown; we went around and the second approach/ landing were uneventful. All passengers and crew were safe; and there were no injuries or immediate aircraft issues observed post-flight. Walk around was accomplished; I inspected the landing very well ;and didn't notice any damages on there. Dispatch; and maintenance were notified right upon landing.Heavier plane ahead on approach; wind was gusting factor as well.Approach was stable; speed was right on the descent profile. I would say to enhance safety and reduce the likelihood of similar incidents I suggest increased awareness and spacing behind heavier aircraft during approach; particularly in turbulent or unstable air conditions like what we had today in CLT.
2279951,2025,Initial Approach,IMC,,,,0,1,0.9452802187164866,FP,1257,I was the Captain and pilot flying on flight # from ZZZ1 to ZZZ.  During pre-departure review; the First Officer (FO) and I noted that convective weather was forecasted at the time of our arrival in ZZZ.  We discussed the associated weather threats and continued to monitor field conditions while enroute.During the flight we encountered numerous areas of moderate turbulence requiring us to change altitudes multiple times in attempt to find a more comfortable ride.  Our final cruising altitude was FL240 with continuous light turbulence much of the flight.  ATC advised us of holding into ZZZ.  The decision was made to slow our speed and holding was lifted prior to our arrival.An hour prior to landing I set-up and briefed the ZZZZZ 2 arrival and ILS to Runway XXL; which was later assigned to us.  There were two convective cells near the airport; one to the west and another to the east.  Weather to the north and south was generally clear.  Due to weather near the airport; ATC gave us vectors and step-down altitudes to the final approach course; which required the use of speed brakes and flaps to meet speed and altitude restrictions.  We remained clear of the weather at that point; which was depicted on the radar as heavy to extreme precipitation and areas of significant turbulence.  Approximately 20 miles from the airport ATC advised us that there was FOD from another aircraft on Runway XXL and changed us to Runway XXR.  The FO switched the FMC programming and we both reviewed the approach differences.  Approximately 5 miles prior to intercepting the final approach course and starting to level at 3000 feet with flaps 5 and speed brakes extended; ATC advised us that the winds had shifted 180 degrees and were gusty.  We were asked if we wanted the ILS to Runway XYL.  I made to decision to switch runways out of concern for tailwind limitations and associated issues in the event of a go-around.  ATC then instructed us to turn left to an assigned heading and climb to 6000 feet.  The FO input 6000 in the MCP (Mode Control Panel) and selected vertical speed +700 while I adjusted the heading.  As we made the turn I observed stationary weather to the east of the airport; while also observing that the weather west of the airport was moving closer with light rain and light turbulence starting to develop.  Both of us immediately recognized we weren't climbing so I disconnected the autopilot; applied power and pulled back into the Flight Director.  The speed was increasing so we retracted the flaps to 1.  There was still barely a positive rate of climb at which point the FO recognized the speed brakes were still extended.  The speedbrakes and flaps were subsequently retracted.  ATC instructed us to level at 4000 feet.  I leveled the aircraft at 4000 feet and we re-cruised the FMC to 4000 at a speed below 250 knots; then reengaged the autopilot and VNAV.  It took a couple attempts to reengage the autopilot as I worked to trim the aircraft.  The FO then began reprogramming the FMC for ILS Runway XYL.  As we came around to the south we lost sight of the airport by a wall of clouds.  I could see ZZZ2; which I initially thought was ZZZ after making the turn; before realizing ZZZ was completely obscured.  We requested weather conditions at the field after observing various convective radar returns in the area.  While I don't recall the verbatim response; light rain was reported by the last arrival on the opposite runaway; but we were told we were the first to land from the south.  ATC then gave us vectors to the final approach course. Once intercepting the final approach course the latest radar return indicated a convective cell was directly over the field.  I made the decision to go-around at that point as we could not see the airport and were not receiving realtime field conditions.  As I executed the go-around we entered IMC and the ride conditions deteriorated rapidly.  I observed lightening to the left and front of the aircraft.By that time we were in heavy rain and moderate turbulence conditions.  I immediately initiated a right turn away from the weather while simultaneously instructing the FO to advise ATC we required an immediate right turn.  ATC gave us latitude to turn at our discretion and assisted with a heading away from the weather.  We were in a gear-up; flaps 10 configuration at that time.  While in the right turn a gust of wind lifted the left wing causing a bank angle of approximately 35 degrees; which gave us a brief bank angle alert.  I corrected the bank angle without issue.  As we retracted the flaps to 5 and then 1; the speed increased quickly and over-sped the flaps by approximately 15 knots.  The airspeed was stabilized and we leveled off at 3000 feet as instructed on an assigned heading.  Upon exiting the weather; ATC asked our intentions.  We requested a hold south of the field.  ATC instructed us to hold as published at ZZZZZ1; which is the Runway XYL IAF.   The autopilot was reengaged; the FO reprogrammed the FMC for the hold; we established ourselves in the hold and then took a couple moments to regroup.  After two turns in the hold; the weather began to clear the area.  Winds were reported to be calm and we could see the airport.  We then successfully completed a second approach and landing to runway XYL.   Upon landing we documented the flap overspeed and contacted maintenance for a required inspection prior to our return flight.  No abnormalities were noted.  In debriefing this event it was clear to me that I became task saturated with pilot flying duties and command decision making responsibilities.  Trying to maintain a big picture without tunnel vision in a dynamic environment while facing deteriorating weather and ride conditions became challenging.  Automation management became increasingly difficult as we were monitoring the weather situation; complying with ATC instructions and continuously reprogramming the FMC.  Ultimately we had four approach set-ups to three different runaways; a discontinued approach; a go-around and a hold.  I credit teamwork; communication and the FO's stellar pilot monitoring skills to maintaining safety during this event.  A factor that negatively contributed to this event was fatigue.  While we were fit for duty; this was the second leg on day 4 of 4 of the trip.  The day prior was a long duty day extended by a maintenance delay and followed by minimum rest.  There was also fatigue associated with the poor ride conditions and increased workload the entire way down from ZZZ1.  The combination of factors certainly contributed to delayed mental processing while executing procedures not routinely conducted.  During the debrief we discussed that using LVL CHG with an appropriate speed rather than VS would have been a better option.  Ensuring and verifying the speed brakes were fully retracted prior to discontinuing the first approach would have also been prudent.  Also; being more deliberate on the go-around procedure; including speed management would have mitigated the risk of a flap overspeed. Finally; we discussed that if we had it to do all over again; following the first approach attempt we would have requested a hold and given ourselves more time to evaluate the most current weather conditions rather than feel pressured to beat the weather.  We felt like the decision to discontinue both approaches was appropriate and noted the positive application of CRM/TEM (Threat and Error Management) in successfully completing the flight.
2243693,2025,Landing,,,,,0,1,0.9336930457801332,FP,165,We had a hard landing into ORF. Winds were very gusty on the RNAV Approach into 23. Glide slope was out of service. Normal procedures were observed and at 100 feet; REF+ 5 was called. At 20-50 feet; I noticed a significant drop rate and called out speed check. We hit the runway pretty hard. I did not recall the FPM on touchdown; but I did see we were minus 5-10 knots from REF just prior to touchdown. We told the tower there was a loss of 10-15 knots just prior to landing. Cause: We believe that we lost a significant gust factor just prior to touching down. This caused a large sink rate at 20-50 feet and the aircraft landing hard. There were no large power changes done on the throttle to cause the loss of speed.Suggestions: Would suggest to fly at the top of the bug during gusty winds and land a little fast just in case the winds fall off like that.
2299649,2025,Initial Approach,VMC,,Night,,0,1,0.932581479904121,FP,521,At 1;500 ft AGL just inside of the final approach fix; an aircraft on the ground crossed the approach end of the runway through the ILS critical area. ATC was utilizing ILS approaches to XXC in VMC conditions. As the aircraft crossed through the critical area; the ILS glideslope became erratic and dropped down multiple degrees of deviation. The Autopilot was engaged and attempted to track the glideslope; causing a sudden pitch downward while tracking the localizer. The descent rate reached around 1500 FPM down from what I recall.I advised that the pilot flying disconnect the Autopilot and continue handflying the approach visually. The pilot flying disconnected promptly and began to correct the transient altitude deviation. Still cross-referencing the inaccurate glideslope; the first officer took a moment to correct the pitch to an appropriate approach attitude. I stated 'pitch' and told the pilot flying to rely on the outside references again. At this time I turned off the flight director as well; to prevent further inaccurate information from the glideslope. While correcting the aggressive pitch down; ATC advised us of a low altitude alert and told us to check our altimeter. I replied 'roger'; and the altimeters were set properly. At this time we were regaining a stable approach path.Upon reaching 1;000 ft AGL; the pilot flying had stabilized the approach and met all stabilized approach criteria for a visual approach. He called 'one thousand' and I replied 'stabilized; cleared to land.' The approach and landing continued with no further issuesCause: A key factor in this event was the automation becoming unreliable as an aircraft crossed through the ILS critical area. While ATC was advertising and clearing aircraft for the ILS approach to XXC in VMC conditions; they continued to cross aircraft at the approach end of the runway. This created the interference with the ILS that caused us to suddenly pitch down.Additionally; this was the first time that the pilot flying experienced an automation anomaly on approach; which may have affected the time taken to correct to the appropriate glide path from the transient nose down attitude. Once the pilot flying began using outside references; the approach stabilized and returned to normal quickly.Suggestions: Had a visual approach clearance been received; we may have been more likely to remain in GPS mode on the FMS and descended with VS mode on the autopilot; but due to the ILS clearance we chose to fly in green needles with approach mode. Since the conditions were VMC; ATC felt comfortable crossing aircraft through the critical area of an active ILS. Had they chosen to taxi the aircraft further down to Taxiway 1; the taxiway that we were advised to hold short of; the glideslope anomaly would not have occurred. With how busy ZZZ has been lately; it is not surprising that they would try to move an aircraft across the approach end of the runway in these conditions. As a crew; the transient state was corrected in time to meet the stabilized approach criteria; but we could also have chosen to go around due to the surprising nature of the Autopilot pitching down aggressively.
2212023,2025,Final Approach,IMC,Turbulence; Thunderstorm; Icing; Rain; 1,Night,200,0,1,0.9311168893038392,FP,235,Yesterday; me and my First Officer were operating flight ZZZ1 to ZZZ when a missed approach occurred while conducting the ILS XXR. The flight conditions for the last 30 minutes of the flight were filled with moderate to severe turbulence and similar precipitation.  Just inside the FAF (ZZZZZ) I got a glide-slope flag on my PFD (Primary Flight Display) followed by a LOC flag.  Soon after the flags my flight director disappeared.  Pretty soon after my flight director failed my First Officer's PFD reflected the same data (a failed LOC and glide-slope). I then called for a 'go around'. My First Officer slowly brought the power up and we proceeded to do our standardized calls.  Although power was brought in; he failed to press the TOGA switches on his side so it never sequenced the missed approach. I proceeded to prompt him to press the buttons so that we could receive the required lateral guidance to commence with the missed approach.  While this occurred; we proceeded to get blown off the lateral ground track of the runway by a 45 knot crosswind that was present at 3;500/4;000 feet. After getting instructions by ATC to commence with an immediate right turn; we began to proceed to the right; but it was delayed due to the moderate turbulence and heavy rain that we were experiencing.  After getting re-sequenced we came back around and landed normally on XXR.
2216300,2025,Initial Approach,,,Night,CLR,0,1,0.9176373643574812,FP,291,Being vectored to do Visual approach RWY XXR backed up with RNAV X XXR. Approach left us high and fast as they were about to turn us base just outside the final approach fix. At which point I was trying to slow down and descend from 250 down to appropriate speeds for flaps. Approach cleared us for the visual but my attention was a little too focused on trying slow down that I did not press NAV early enough for the course to capture properly; instead we overshot the course by some. Once this happened I turned off the autopilot to hand fly since we had the runway in sight and our speed was back under control but still had to configure some more. We were lined up with centerline prior to FAF; I asked for the flight director off since I was no longer following it. I lost situational awareness of my altitude and began to drift down to the point of 1000 FT above TDZE 5 nm out. My first officer challenged me and I halted my descent to level there. Upon getting closer to the runway I began my descent again and the flight continued with no other issues.Suggestions: In hindsight I was definitely complacent and just lost situational awareness of my altitude in relation to my distance. My FO did a good job of monitoring the situation and informing me of deviations to make the proper corrections. What would have helped me avoid this situation in the first place would have been to slow down a bit sooner than I did. This would have helped with staying ahead of the airplane and not fall behind. A go-around should have been initiated by myself or the first officer.
2201472,2025,Initial Approach,,Icing; Turbulence,Night,,0,1,0.9175839924720376,FP,291,"I was pilot monitoring. We were cleared for visual approach to runway XX to ZZZ. Backed up by the RNAV Z XX approach. Wx conditions: sky clear; XX nm vis; winds XXX XX gust XX. Wind shear advisory's in affect and reported within last 10 minutes. On approximately a 3 mile final we received a Caution Obstacle"" annunciation. The captain who was flying immediately disconnected the auto pilot and momentarily leveled. Upon looking outside and verifying we were slightly below glide path per the PAPI we immediately corrected to on glide path via the PAPI and continued the arrival to an uneventful landing. Suggestions: The two main factors that played a role here were expectation bias as well as over focusing on wind/windshear allowing for a slightly low approach. The bigger issue was that upon correcting our descent to align exclusively with the PAPI and disregarding in aircraft glide path indicators we realized we had never been given and had therefore never updated the on field altimeter setting. We had been given an altimeter of 29.89 on initial contact with approach; but never had received an updated setting for the field which was reporting an altimeter of 29.77. This caused our low glide path into the airport and we should have caught it. I believe we missed it because we were over fixated on airspeed and expecting wind shear rather than looking at the approach as a whole. In summary I would say my biggest takeaways would be: 1. always double check altimeter setting on the field regardless of conditions and don't expect ATC to give it to you. 2. Don't let one adverse condition (in this case windshear potential) allow you to miss other equally important parts of safe operation"""
