model,ngram_range,min_df,C,class_weight,alpha,precision,recall,f1,roc_auc,pr_auc
logistic_regression,"(1, 2)",3,3.0,balanced,,0.6136,0.6,0.6067,0.8933,0.6527
logistic_regression,"(1, 2)",2,3.0,balanced,,0.5903,0.5956,0.5929,0.8936,0.6512
logistic_regression,"(1, 1)",3,3.0,,,0.8442,0.2889,0.4305,0.8877,0.6502
logistic_regression,"(1, 2)",3,3.0,,,0.8333,0.2444,0.378,0.8924,0.6496
logistic_regression,"(1, 2)",2,3.0,,,0.8358,0.2489,0.3836,0.8926,0.6485
logistic_regression,"(1, 1)",2,3.0,,,0.8312,0.2844,0.4238,0.8875,0.6482
logistic_regression,"(1, 1)",3,3.0,balanced,,0.5492,0.6444,0.593,0.8857,0.6474
linear_svm,"(1, 2)",3,0.1,,,0.9032,0.1244,0.2188,0.8894,0.6468
logistic_regression,"(1, 2)",3,1.0,balanced,,0.5581,0.64,0.5963,0.8929,0.6456
logistic_regression,"(1, 1)",3,1.0,balanced,,0.5152,0.68,0.5862,0.8911,0.645
linear_svm,"(1, 2)",2,0.1,,,0.9,0.12,0.2118,0.8893,0.6449
logistic_regression,"(1, 1)",2,3.0,balanced,,0.55,0.6356,0.5897,0.8852,0.6446
logistic_regression,"(1, 1)",2,1.0,balanced,,0.5117,0.68,0.584,0.8909,0.6445
logistic_regression,"(1, 2)",2,1.0,balanced,,0.5489,0.6489,0.5947,0.8924,0.6443
linear_svm,"(1, 2)",2,1.0,balanced,,0.6993,0.4756,0.5661,0.8837,0.644
linear_svm,"(1, 1)",3,0.1,balanced,,0.5185,0.6844,0.59,0.8898,0.6435
linear_svm,"(1, 2)",3,0.1,balanced,,0.5551,0.6489,0.5984,0.8924,0.643
linear_svm,"(1, 2)",2,1.0,,,0.8211,0.3467,0.4875,0.8801,0.6425
linear_svm,"(1, 1)",3,0.1,,,0.881,0.1644,0.2772,0.886,0.6425
linear_svm,"(1, 2)",2,0.1,balanced,,0.5506,0.6533,0.5976,0.8922,0.6423
linear_svm,"(1, 1)",2,0.1,balanced,,0.5168,0.6844,0.5889,0.8896,0.6423
linear_svm,"(1, 1)",2,0.1,,,0.8837,0.1689,0.2836,0.8858,0.6417
logistic_regression,"(1, 1)",3,1.0,,,0.8431,0.1911,0.3116,0.8893,0.6409
logistic_regression,"(1, 1)",2,1.0,,,0.8448,0.2178,0.3463,0.8891,0.6403
linear_svm,"(1, 2)",3,1.0,balanced,,0.7078,0.4844,0.5752,0.8796,0.6396
linear_svm,"(1, 2)",3,1.0,,,0.8132,0.3289,0.4684,0.876,0.6373
logistic_regression,"(1, 2)",3,1.0,,,0.8605,0.1644,0.2761,0.8882,0.6365
linear_svm,"(1, 2)",2,3.0,balanced,,0.7597,0.4356,0.5537,0.8756,0.6335
logistic_regression,"(1, 2)",2,1.0,,,0.8571,0.16,0.2697,0.8871,0.6333
linear_svm,"(1, 2)",2,3.0,,,0.7864,0.36,0.4939,0.8734,0.632
linear_svm,"(1, 2)",3,3.0,balanced,,0.7519,0.4311,0.548,0.8694,0.6264
linear_svm,"(1, 1)",3,1.0,,,0.781,0.3644,0.497,0.8639,0.6234
linear_svm,"(1, 2)",3,3.0,,,0.757,0.36,0.488,0.8669,0.6234
linear_svm,"(1, 1)",2,1.0,,,0.781,0.3644,0.497,0.8633,0.6192
linear_svm,"(1, 1)",3,1.0,balanced,,0.5727,0.5778,0.5752,0.864,0.6148
linear_svm,"(1, 1)",2,1.0,balanced,,0.5633,0.5733,0.5683,0.8636,0.6125
logistic_regression,"(1, 1)",2,0.1,balanced,,0.4538,0.72,0.5567,0.876,0.602
logistic_regression,"(1, 1)",3,0.1,balanced,,0.4579,0.7244,0.5611,0.8763,0.6017
logistic_regression,"(1, 2)",3,0.1,balanced,,0.4398,0.6978,0.5395,0.8706,0.5962
logistic_regression,"(1, 2)",2,0.1,balanced,,0.4454,0.7067,0.5464,0.8685,0.59
linear_svm,"(1, 1)",3,3.0,,,0.6791,0.4044,0.507,0.8469,0.5868
logistic_regression,"(1, 1)",3,0.1,,,0.0,0.0,0.0,0.8646,0.5853
logistic_regression,"(1, 1)",2,0.1,,,0.0,0.0,0.0,0.8642,0.584
logistic_regression,"(1, 2)",3,0.1,,,0.0,0.0,0.0,0.8595,0.5821
linear_svm,"(1, 1)",3,3.0,balanced,,0.5838,0.5111,0.545,0.846,0.5809
linear_svm,"(1, 1)",2,3.0,,,0.6691,0.4044,0.5042,0.8458,0.5795
linear_svm,"(1, 1)",2,3.0,balanced,,0.5812,0.4933,0.5337,0.8456,0.5774
logistic_regression,"(1, 2)",2,0.1,,,0.0,0.0,0.0,0.858,0.5773
multinomial_nb,"(1, 2)",3,,,0.1,0.7639,0.2444,0.3704,0.8495,0.5757
multinomial_nb,"(1, 1)",3,,,0.1,0.6974,0.2356,0.3522,0.8555,0.5544
multinomial_nb,"(1, 1)",2,,,0.1,0.75,0.2267,0.3481,0.8522,0.5525
multinomial_nb,"(1, 2)",2,,,0.1,0.9,0.08,0.1469,0.8337,0.5472
multinomial_nb,"(1, 1)",3,,,0.5,0.75,0.0267,0.0515,0.8289,0.5015
multinomial_nb,"(1, 1)",2,,,0.5,1.0,0.0044,0.0088,0.8129,0.4733
multinomial_nb,"(1, 1)",3,,,1.0,0.0,0.0,0.0,0.7855,0.418
multinomial_nb,"(1, 2)",3,,,0.5,0.0,0.0,0.0,0.7668,0.4092
multinomial_nb,"(1, 1)",2,,,1.0,0.0,0.0,0.0,0.7564,0.3614
multinomial_nb,"(1, 2)",2,,,0.5,0.0,0.0,0.0,0.7024,0.3076
multinomial_nb,"(1, 2)",3,,,1.0,0.0,0.0,0.0,0.6821,0.2827
multinomial_nb,"(1, 2)",2,,,1.0,0.0,0.0,0.0,0.6264,0.2233
