model,C,class_weight,precision,recall,f1,roc_auc,pr_auc
logistic_regression,10.0,balanced,0.4132,0.7511,0.5331,0.8559,0.5524
logistic_regression,10.0,,0.6471,0.2444,0.3548,0.8551,0.5524
logistic_regression,3.0,balanced,0.4132,0.7511,0.5331,0.8559,0.5523
logistic_regression,3.0,,0.6512,0.2489,0.3601,0.8549,0.5523
logistic_regression,1.0,balanced,0.4132,0.7511,0.5331,0.8558,0.5518
logistic_regression,1.0,,0.6437,0.2489,0.359,0.8546,0.5518
linear_svm,3.0,,0.6909,0.1689,0.2714,0.8537,0.5515
linear_svm,10.0,,0.6909,0.1689,0.2714,0.8536,0.5515
logistic_regression,0.1,balanced,0.4037,0.7733,0.5305,0.8553,0.5514
linear_svm,1.0,,0.6909,0.1689,0.2714,0.8536,0.5512
linear_svm,1.0,balanced,0.4194,0.7511,0.5382,0.856,0.551
linear_svm,3.0,balanced,0.4179,0.7467,0.5359,0.856,0.551
linear_svm,10.0,balanced,0.4179,0.7467,0.5359,0.856,0.551
linear_svm,0.1,balanced,0.4142,0.7511,0.534,0.8558,0.5506
linear_svm,0.1,,0.6452,0.1778,0.2787,0.8534,0.5505
logistic_regression,0.1,,0.6176,0.28,0.3853,0.8521,0.5477
