column,missing_count,missing_percent
Time | Date,0,0.0
incident_year,0,0.0
Aircraft 1 | Flight Phase,0,0.0
Report 1 | Narrative,0,0.0
Report 1 | Synopsis,1,0.01
text_main,0,0.0
Environment | Flight Conditions,3371,30.19
Environment | Weather Elements / Visibility,6906,61.85
Environment | Light,4604,41.24
Environment | Ceiling,8488,76.02
Aircraft 1 | Make Model Name,7,0.06
Aircraft 1 | Flight Plan,2751,24.64
Aircraft 1 | Mission,875,7.84
Aircraft 1 | Aircraft Operator,529,4.74
Aircraft 1 | Operating Under FAR Part,377,3.38
Aircraft 1 | ATC / Advisory,1661,14.88
label_unstable,0,0.0
